transaction_id,date,region,country,department,product_category,product_name,customer_segment,channel,sales_rep,units_sold,unit_price,discount_pct,revenue,cost,profit,kpi_target,kpi_actual,csat_score,churn_flag,agentic_query_count,avg_query_latency_ms
48,2022-03-21,LATAM,Argentina,Customer Success,Reporting Suite,ReportGen,SMB,Reseller,Rep_032,11,741.73,5,7751.08,3226.1,4524.98,10233.43,10752.37,4.8,0,11,697.0
49,2025-03-18,MEA,South Africa,Sales,AI Agents,AutoInsight,Mid-Market,Reseller,Rep_011,9,1583.09,0,14247.81,7888.6,6359.21,11108.68,8133.88,3.6,0,11,685.8
50,2023-10-04,MEA,UAE,Sales,Reporting Suite,ReportGen,SMB,Online Self-Serve,Rep_043,17,1132.6,10,17328.78,6665.48,10663.3,18291.71,20471.14,4.6,0,8,256.4
51,2025-11-27,MEA,South Africa,Customer Success,BI Dashboards,PulseView,Mid-Market,Reseller,Rep_079,21,1268.43,0,26637.03,13616.82,13020.21,20209.37,24234.45,2.6,0,18,445.4
52,2022-12-14,Europe,UK,Operations,AI Agents,AgentQuery,SMB,Reseller,Rep_055,27,380.31,0,10268.37,4569.35,5699.02,14084.41,13439.05,3.6,0,9,149.2
53,2022-03-29,North America,Canada,Customer Success,Reporting Suite,ReportGen,Mid-Market,Reseller,Rep_008,8,641.9,10,4621.68,2760.36,1861.32,21654.21,19858.44,4.0,0,15,227.5
54,2024-03-01,APAC,Australia,Operations,Data Integration,FlowConnect,Enterprise,Online Self-Serve,Rep_057,9,718.44,0,6465.96,2475.08,3990.88,20488.09,23782.12,3.0,0,10,281.3
55,2023-01-23,APAC,Japan,Sales,Reporting Suite,SnapReport,Enterprise,Partner,Rep_052,4,577.0,0,2308.0,1096.95,1211.05,13222.63,12458.7,4.2,0,15,607.4
56,2025-01-31,APAC,India,Sales,AI Agents,AutoInsight,Mid-Market,Reseller,Rep_010,3,1181.94,10,3191.24,1885.04,1306.2,24760.72,20584.51,2.6,0,18,426.6
57,2025-06-07,North America,Canada,Marketing,Reporting Suite,SnapReport,Mid-Market,Online Self-Serve,Rep_019,11,814.69,10,8065.43,3010.51,5054.92,22044.0,20266.56,3.5,1,16,217.4
58,2024-05-03,North America,Mexico,Operations,AI Agents,AgentQuery,Enterprise,Direct Sales,Rep_016,7,167.4,0,1171.8,531.96,639.84,12719.66,13971.24,2.6,0,16,929.1
59,2026-01-08,Europe,France,Operations,BI Dashboards,PulseView,Mid-Market,Online Self-Serve,Rep_042,36,1908.38,0,68701.68,37583.13,31118.55,10311.21,8786.72,4.2,1,17,365.7
60,2024-08-16,APAC,Japan,IT,BI Dashboards,PulseView,SMB,Partner,Rep_019,7,1918.13,0,13426.91,7756.51,5670.4,24356.43,23355.67,3.6,0,17,281.1
61,2023-03-21,Europe,France,Marketing,BI Dashboards,InsightBoard,SMB,Partner,Rep_028,12,425.24,0,5102.88,2845.41,2257.47,15053.51,17403.78,3.1,0,21,625.8
62,2024-07-19,Europe,France,Customer Success,AI Agents,AgentQuery,Mid-Market,Direct Sales,Rep_004,33,342.47,15,9606.28,4172.9,5433.38,8884.09,8073.5,2.9,0,20,165.8
63,2023-06-17,North America,USA,Finance,AI Agents,AgentQuery,SMB,Partner,Rep_020,5,244.36,0,1221.8,546.62,675.18,19402.2,24831.02,4.6,1,19,688.2
64,2025-12-29,APAC,India,Sales,Reporting Suite,SnapReport,SMB,Reseller,Rep_007,34,543.63,0,18483.42,8015.49,10467.93,13696.56,13042.21,3.9,0,10,894.3
65,2023-10-22,APAC,Australia,Sales,Analytics Platform,MetricMind Core,Enterprise,Direct Sales,Rep_072,14,1884.08,0,26377.12,13272.22,13104.9,11512.1,13315.01,3.3,0,17,212.5
66,2024-03-13,North America,Canada,Operations,Data Integration,PipeSync,SMB,Reseller,Rep_039,11,1139.62,5,11909.03,6988.94,4920.09,11420.17,9569.64,3.0,0,15,940.3
67,2025-02-21,Europe,Germany,Customer Success,Analytics Platform,MetricMind Core,Enterprise,Partner,Rep_034,15,1819.45,5,25927.16,12371.95,13555.21,19815.63,14444.55,2.9,0,14,438.7
68,2022-04-02,LATAM,Chile,Finance,BI Dashboards,InsightBoard,Mid-Market,Reseller,Rep_043,7,152.87,0,1070.09,483.71,586.38,11025.72,8964.33,4.0,0,24,627.3
69,2024-10-10,North America,Mexico,Sales,Analytics Platform,MetricMind Core,Enterprise,Reseller,Rep_021,17,1155.57,10,17680.22,8112.47,9567.75,12645.74,15401.28,2.9,0,8,459.5
70,2023-01-31,Europe,UK,Finance,BI Dashboards,InsightBoard,Mid-Market,Partner,Rep_070,12,1396.38,0,16756.56,6044.17,10712.39,10342.29,12925.95,2.6,1,18,215.3
71,2024-10-25,MEA,UAE,Sales,Reporting Suite,SnapReport,Mid-Market,Reseller,Rep_049,4,1282.21,0,5128.84,2192.42,2936.42,9714.87,10240.39,3.1,0,11,265.8
72,2023-11-30,LATAM,Brazil,Marketing,Analytics Platform,MetricMind Pro,SMB,Partner,Rep_046,3,1899.76,5,5414.32,2878.58,2535.74,13178.96,13812.83,5.0,0,11,542.2
73,2023-04-30,APAC,India,Marketing,BI Dashboards,InsightBoard,Mid-Market,Reseller,Rep_002,5,675.74,0,3378.7,1201.04,2177.66,22252.94,25290.53,4.4,0,23,770.3
74,2026-02-17,North America,Canada,Sales,BI Dashboards,PulseView,Enterprise,Partner,Rep_039,41,199.85,0,8193.85,2950.44,5243.41,21337.9,16213.03,4.9,0,13,868.2
75,2025-03-06,MEA,Saudi Arabia,Marketing,BI Dashboards,InsightBoard,Mid-Market,Direct Sales,Rep_020,14,1777.57,0,24885.98,9934.15,14951.83,10816.09,11524.77,3.5,1,16,239.7
76,2022-08-01,APAC,Australia,Sales,BI Dashboards,InsightBoard,Enterprise,Direct Sales,Rep_064,48,524.44,0,25173.12,11140.33,14032.79,23340.01,24844.52,2.8,1,12,886.7
77,2023-10-14,APAC,China,Operations,BI Dashboards,InsightBoard,SMB,Partner,Rep_010,14,1845.72,0,25840.08,12552.39,13287.69,12867.13,10373.32,3.2,0,15,476.2
78,2024-09-17,North America,Mexico,Customer Success,BI Dashboards,InsightBoard,Enterprise,Reseller,Rep_061,28,1072.67,0,30034.76,13981.26,16053.5,22428.12,21691.01,4.5,0,18,324.7
79,2025-07-13,Europe,Germany,Marketing,AI Agents,AgentQuery,Startup,Online Self-Serve,Rep_018,20,1072.03,5,20368.57,8492.23,11876.34,14701.44,18761.6,3.7,0,16,650.0
80,2023-03-03,LATAM,Chile,Sales,BI Dashboards,PulseView,Startup,Partner,Rep_001,5,339.3,0,1696.5,797.53,898.97,20112.09,17328.11,3.2,0,23,837.2
81,2024-08-30,Europe,Netherlands,Finance,Reporting Suite,SnapReport,SMB,Online Self-Serve,Rep_019,6,277.27,0,1663.62,585.77,1077.85,17207.0,14898.88,4.3,0,17,785.5
82,2025-02-22,North America,Mexico,IT,BI Dashboards,InsightBoard,SMB,Reseller,Rep_012,9,695.12,5,5943.28,2156.01,3787.27,9176.01,6754.89,2.8,0,16,615.8
83,2023-12-24,LATAM,Chile,Sales,Data Integration,PipeSync,SMB,Partner,Rep_055,11,839.45,0,9233.95,5161.34,4072.61,8872.98,7112.53,3.2,0,19,913.3
84,2022-03-14,Europe,UK,IT,Analytics Platform,MetricMind Core,Startup,Reseller,Rep_040,14,161.59,5,2149.15,1184.94,964.21,14133.55,14546.53,4.8,0,19,248.9
85,2025-10-20,LATAM,Chile,Operations,AI Agents,AgentQuery,Mid-Market,Direct Sales,Rep_041,4,1801.43,0,7205.72,2790.76,4414.96,14257.92,17769.2,2.8,0,18,286.0
86,2026-06-29,Europe,Germany,IT,AI Agents,AgentQuery,Enterprise,Direct Sales,Rep_080,15,623.61,10,8418.74,4863.87,3554.87,22396.68,25675.24,3.9,0,9,260.3
87,2023-03-04,LATAM,Chile,Customer Success,Analytics Platform,MetricMind Core,Enterprise,Partner,Rep_079,17,1542.86,0,26228.62,12473.19,13755.43,18939.54,15104.79,4.2,0,12,761.9
88,2023-12-31,Europe,Germany,Sales,Analytics Platform,MetricMind Pro,SMB,Direct Sales,Rep_027,9,154.82,0,1393.38,772.5,620.88,10287.19,8288.31,3.9,1,19,637.5
89,2023-05-07,North America,USA,Sales,Analytics Platform,MetricMind Pro,Mid-Market,Partner,Rep_042,14,625.05,10,7875.63,3911.09,3964.54,11729.37,8250.54,3.7,0,14,399.5
90,2023-05-07,APAC,India,Operations,BI Dashboards,PulseView,Enterprise,Direct Sales,Rep_050,11,1929.62,0,21225.82,9415.91,11809.91,16073.68,16074.15,4.9,0,20,134.1
91,2024-03-12,APAC,India,Customer Success,BI Dashboards,PulseView,SMB,Partner,Rep_076,3,1490.23,20,3576.55,1561.47,2015.08,10241.2,7937.36,3.6,0,15,232.6
92,2022-06-01,Europe,France,Finance,BI Dashboards,PulseView,Enterprise,Partner,Rep_061,7,1367.14,0,9569.98,4841.05,4728.93,24754.88,18949.91,4.7,0,9,643.0
93,2025-04-14,Europe,Netherlands,Sales,Data Integration,PipeSync,SMB,Direct Sales,Rep_048,5,685.68,0,3428.4,1702.37,1726.03,24728.34,24266.33,3.0,0,17,409.4
94,2025-05-28,LATAM,Argentina,Sales,AI Agents,AutoInsight,SMB,Partner,Rep_035,9,1543.82,0,13894.38,6511.13,7383.25,20552.62,19189.16,3.4,0,20,577.9
95,2022-05-15,Europe,France,Operations,AI Agents,AgentQuery,Enterprise,Direct Sales,Rep_030,2,149.01,0,298.02,176.57,121.45,16826.33,20843.58,4.8,0,10,917.3
96,2024-01-10,Europe,Netherlands,Marketing,Data Integration,PipeSync,Enterprise,Online Self-Serve,Rep_066,24,238.84,0,5732.16,2879.69,2852.47,23622.71,23632.85,4.5,0,18,789.5
97,2023-12-13,Europe,France,Sales,Reporting Suite,ReportGen,Enterprise,Direct Sales,Rep_053,4,1479.3,0,5917.2,3082.13,2835.07,13206.23,14926.62,5.0,0,11,870.9
98,2023-08-01,Europe,Netherlands,IT,Data Integration,PipeSync,Mid-Market,Online Self-Serve,Rep_012,15,960.39,0,14405.85,5818.84,8587.01,16760.64,18620.18,2.8,0,18,560.5
99,2022-05-20,Europe,France,Finance,Reporting Suite,SnapReport,SMB,Online Self-Serve,Rep_020,8,921.73,0,7373.84,3387.42,3986.42,9653.84,10838.53,3.7,0,15,310.5
100,2025-11-19,LATAM,Chile,IT,Reporting Suite,SnapReport,Mid-Market,Online Self-Serve,Rep_026,13,1442.76,0,18755.88,11211.5,7544.38,17730.31,15926.18,4.0,0,16,672.3
101,2022-06-16,LATAM,Brazil,Marketing,BI Dashboards,InsightBoard,Mid-Market,Partner,Rep_063,14,554.54,5,7375.38,3159.88,4215.5,8774.19,9984.17,4.9,0,10,396.0
102,2022-10-14,MEA,Saudi Arabia,Operations,Data Integration,FlowConnect,SMB,Reseller,Rep_031,12,1897.8,10,20496.24,7921.11,12575.13,23972.82,21142.92,4.0,0,17,702.0
103,2022-01-12,Europe,Netherlands,Marketing,Data Integration,FlowConnect,Enterprise,Direct Sales,Rep_072,12,540.92,5,6166.49,2401.78,3764.71,18085.84,14281.28,5.0,0,14,135.8
104,2023-08-25,Europe,Germany,Customer Success,Reporting Suite,ReportGen,SMB,Direct Sales,Rep_059,21,1728.22,0,36292.62,17842.88,18449.74,14305.41,18522.59,4.0,0,17,703.3
105,2023-05-25,LATAM,Chile,Sales,Reporting Suite,SnapReport,Mid-Market,Direct Sales,Rep_062,12,1530.85,5,17451.69,6360.98,11090.71,14300.23,16440.03,3.8,0,19,942.9
106,2022-02-08,Europe,Netherlands,Sales,Reporting Suite,SnapReport,SMB,Partner,Rep_053,8,1436.91,5,10920.52,4713.34,6207.18,10648.74,12823.03,4.8,0,14,537.4
107,2022-08-07,MEA,Saudi Arabia,IT,Data Integration,FlowConnect,SMB,Direct Sales,Rep_022,15,1039.39,15,13252.22,5188.93,8063.29,11660.49,14114.02,4.2,0,21,359.2
108,2025-12-30,LATAM,Argentina,Marketing,AI Agents,AgentQuery,Enterprise,Online Self-Serve,Rep_032,33,947.85,10,28151.14,13100.02,15051.12,19759.91,18603.2,3.6,0,17,382.7
109,2025-09-11,MEA,South Africa,Finance,Reporting Suite,SnapReport,Mid-Market,Direct Sales,Rep_065,7,1406.65,0,9846.55,3889.56,5956.99,22980.3,25830.16,3.5,0,18,846.6
110,2023-08-03,North America,USA,Operations,Data Integration,PipeSync,Enterprise,Reseller,Rep_018,20,1116.95,0,22339.0,12476.6,9862.4,19896.99,19089.32,5.0,0,6,860.1
111,2024-02-09,Europe,Netherlands,IT,Data Integration,FlowConnect,SMB,Direct Sales,Rep_043,20,206.93,5,3931.67,2330.8,1600.87,14434.66,12244.73,4.7,0,19,936.2
112,2024-01-13,Europe,Germany,Finance,AI Agents,AutoInsight,Enterprise,Partner,Rep_020,8,492.66,0,3941.28,2083.47,1857.81,22300.22,21531.09,2.6,0,20,208.7
113,2025-12-17,Europe,France,Marketing,Analytics Platform,MetricMind Core,Startup,Reseller,Rep_054,19,1627.47,0,30921.93,12668.38,18253.55,24657.97,21784.11,3.9,0,21,509.1
114,2022-03-30,MEA,Saudi Arabia,Sales,Reporting Suite,ReportGen,Mid-Market,Online Self-Serve,Rep_066,20,1541.41,5,29286.79,12121.81,17164.98,10010.1,12668.99,3.5,0,9,948.6
115,2022-09-29,North America,USA,IT,Data Integration,FlowConnect,Startup,Online Self-Serve,Rep_058,17,1258.43,0,21393.31,10757.11,10636.2,24396.12,23250.37,3.8,1,10,271.4
116,2024-03-28,LATAM,Brazil,Finance,BI Dashboards,InsightBoard,Mid-Market,Online Self-Serve,Rep_052,15,665.98,0,9989.7,5682.81,4306.89,18818.21,17532.34,4.2,0,11,337.3
117,2025-10-08,Europe,France,Finance,Analytics Platform,MetricMind Pro,Enterprise,Direct Sales,Rep_008,13,1550.1,5,19143.73,7730.55,11413.18,18018.16,12660.6,3.6,0,18,850.4
118,2026-05-18,North America,Canada,IT,Analytics Platform,MetricMind Core,Enterprise,Partner,Rep_049,15,477.67,0,7165.05,3275.87,3889.18,9069.86,9821.84,4.3,0,11,898.8
119,2024-08-26,LATAM,Brazil,Customer Success,Data Integration,FlowConnect,SMB,Direct Sales,Rep_018,4,1040.74,0,4162.96,1891.16,2271.8,18990.95,16662.92,4.7,0,13,346.5
120,2023-10-28,APAC,Japan,IT,Reporting Suite,SnapReport,SMB,Reseller,Rep_071,8,1851.76,0,14814.08,7182.75,7631.33,10876.07,13547.92,2.6,0,14,138.5
121,2024-01-26,Europe,Netherlands,Marketing,Reporting Suite,SnapReport,SMB,Partner,Rep_066,21,129.84,10,2453.98,1093.21,1360.77,16071.67,16498.77,4.2,1,16,599.2
122,2022-05-29,MEA,South Africa,Marketing,BI Dashboards,InsightBoard,Startup,Partner,Rep_040,18,860.17,0,15483.06,6115.74,9367.32,15151.1,14481.97,3.3,0,16,700.3
123,2025-07-30,MEA,South Africa,Operations,Data Integration,FlowConnect,Enterprise,Direct Sales,Rep_024,7,1506.7,0,10546.9,5921.88,4625.02,16396.14,11634.08,4.6,0,16,363.9
124,2024-07-06,North America,Canada,Finance,BI Dashboards,PulseView,Enterprise,Direct Sales,Rep_063,2,263.57,5,500.78,236.72,264.06,24454.68,17320.33,3.4,0,8,379.6
125,2022-03-27,APAC,Australia,Customer Success,Reporting Suite,SnapReport,Enterprise,Partner,Rep_078,15,761.71,0,11425.65,4916.55,6509.1,16852.61,19645.25,4.6,0,15,187.9
126,2024-04-24,Europe,Netherlands,Marketing,Reporting Suite,ReportGen,SMB,Direct Sales,Rep_061,14,357.06,10,4498.96,1694.31,2804.65,9114.14,10215.18,4.5,1,13,625.1
127,2025-11-02,North America,Mexico,Marketing,BI Dashboards,PulseView,SMB,Direct Sales,Rep_058,9,970.51,0,8734.59,3389.35,5345.24,15289.5,17076.68,4.6,0,23,594.0
128,2024-08-08,North America,Canada,Marketing,Reporting Suite,SnapReport,SMB,Online Self-Serve,Rep_058,4,437.57,0,1750.28,1042.19,708.09,19912.61,17056.04,4.9,0,11,252.5
129,2024-01-21,Europe,Netherlands,Operations,Reporting Suite,ReportGen,Enterprise,Reseller,Rep_012,3,1911.75,15,4874.96,2118.48,2756.48,16045.32,14914.82,2.8,0,12,414.7
130,2022-10-21,Europe,Germany,Operations,Data Integration,PipeSync,SMB,Partner,Rep_055,8,1245.92,0,9967.36,4596.44,5370.92,8615.59,6318.5,4.5,0,13,218.4
131,2022-12-05,MEA,Saudi Arabia,Finance,Reporting Suite,ReportGen,Mid-Market,Reseller,Rep_008,19,675.33,15,10906.58,5665.05,5241.53,22492.13,19152.9,4.8,0,18,327.6
132,2026-04-15,APAC,China,Finance,BI Dashboards,InsightBoard,Enterprise,Reseller,Rep_001,6,508.0,5,2895.6,1305.27,1590.33,22157.68,21662.19,4.8,0,12,448.5
133,2022-09-11,North America,USA,IT,AI Agents,AgentQuery,SMB,Reseller,Rep_028,4,1962.23,0,7848.92,4685.73,3163.19,18364.04,14926.75,4.0,0,21,585.4
134,2024-08-19,North America,USA,Operations,AI Agents,AgentQuery,Mid-Market,Partner,Rep_005,3,592.92,15,1511.95,642.59,869.36,23447.36,22588.73,2.6,1,15,533.0
135,2024-04-01,LATAM,Chile,Operations,Analytics Platform,MetricMind Pro,SMB,Direct Sales,Rep_006,20,1397.31,0,27946.2,12941.75,15004.45,22905.12,27812.35,2.8,0,19,837.6
136,2026-06-04,North America,Mexico,Finance,Analytics Platform,MetricMind Pro,Enterprise,Direct Sales,Rep_063,27,225.44,15,5173.85,3103.21,2070.64,24896.66,26534.65,4.2,0,18,363.1
137,2023-02-21,North America,Mexico,Customer Success,Reporting Suite,ReportGen,Mid-Market,Partner,Rep_053,12,1098.75,5,12525.75,6558.89,5966.86,8030.13,7987.63,2.8,0,14,948.9
138,2025-11-23,LATAM,Brazil,Operations,AI Agents,AutoInsight,Mid-Market,Direct Sales,Rep_025,9,1849.5,0,16645.5,7937.51,8707.99,11876.5,8519.95,3.3,0,17,742.2
139,2025-05-09,MEA,Saudi Arabia,Sales,Data Integration,FlowConnect,SMB,Online Self-Serve,Rep_064,8,828.53,0,6628.24,3174.89,3453.35,14757.49,10418.71,4.8,0,12,437.0
140,2023-04-01,APAC,Japan,Sales,Data Integration,PipeSync,Startup,Online Self-Serve,Rep_018,18,103.03,10,1669.09,593.41,1075.68,13649.23,10891.39,3.5,0,19,860.5
